# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0986695
# Diagonal elements of inverse mass matrix:
# 0.243526, 0.0825443
516.657,0.82867,0.0986695,2,3,0,-515.549,3.5891,-0.217724,26.9737,26.3516,25.4704,24.9954,24.6765,24.4786,24.6187,24.3139,23.3913,23.6208
516.857,0.993069,0.0986695,5,47,0,-514.591,4.30777,-0.642447,31.1727,29.0986,26.3201,24.898,23.9722,23.4094,23.8068,22.9477,20.4722,21.0707
516.727,0.99453,0.0986695,3,15,0,-516.493,4.34161,-0.707854,29.5174,27.361,24.4969,23.0425,22.1003,21.5294,21.9324,21.062,18.5728,19.1719
515.364,0.702989,0.0986695,5,35,0,-513.148,3.55102,-0.160047,28.0706,27.5933,26.912,26.5421,26.2927,26.1376,26.2474,26.0082,25.279,25.4612
513.961,0.778697,0.0986695,4,23,0,-512.313,3.86677,-0.314094,31.2585,30.2238,28.7766,28.0056,27.4916,27.1742,27.3987,26.9108,25.4501,25.8112
515.045,0.998842,0.0986695,5,35,0,-513.146,4.66086,-0.806622,35.5433,32.5998,28.7404,26.8043,25.5589,24.8078,25.3377,24.1951,20.9645,21.7368
515.001,1,0.0986695,2,3,0,-514.645,4.58494,-0.891666,29.368,26.6915,23.2211,21.4981,20.3967,19.7352,20.2016,19.197,16.3843,17.0528
515.662,0.993263,0.0986695,5,35,0,-513.926,3.22791,-0.0839,22.5227,22.3211,22.0305,21.8712,21.7633,21.6959,21.7436,21.6395,21.3193,21.3997
516.381,0.996213,0.0986695,2,7,0,-515.74,3.31397,-0.0690933,25.0431,24.8584,24.5915,24.445,24.3456,24.2835,24.3275,24.2315,23.9359,24.0102
516.356,0.992927,0.0986695,2,7,0,-516.27,3.30251,-0.102687,23.6587,23.3998,23.0274,22.8239,22.6861,22.6001,22.661,22.5282,22.1209,22.2231
516.024,0.982912,0.0986695,4,19,0,-515.746,3.23476,-0.0134345,24.9433,24.9074,24.8552,24.8263,24.8067,24.7943,24.8031,24.784,24.7249,24.7398
516.095,0.807054,0.0986695,2,3,0,-514.658,3.16308,-0.018315,23.0653,23.0201,22.9543,22.918,22.8933,22.8778,22.8887,22.8648,22.7905,22.8092
515.129,0.92448,0.0986695,4,19,0,-514.129,2.94049,0.0897406,21.3653,21.5718,21.8763,22.0467,22.1637,22.2374,22.1852,22.2994,22.6578,22.5668
516.993,0.987921,0.0986695,5,35,0,-514.86,4.02315,-0.520889,27.6381,26.1375,24.095,23.0339,22.337,21.9109,22.2119,21.5598,19.654,20.1186
516.925,0.967878,0.0986695,4,27,0,-516.162,4.36534,-0.698161,30.625,28.4172,25.4811,23.9884,23.0207,22.434,22.8481,21.9535,19.3924,20.0092
517.004,0.750398,0.0986695,4,27,0,-514.573,3.85403,-0.37815,28.3035,27.1794,25.6204,24.7963,24.2493,23.9126,24.1507,23.6339,22.0981,22.4761
515.689,0.743282,0.0986695,1,3,0,-515.666,3.89643,-0.360247,30.2524,29.1067,27.514,26.6702,26.1095,25.764,26.0083,25.4778,23.8981,24.2874
516.763,0.978136,0.0986695,4,31,0,-514.901,3.64642,-0.252825,27.2415,26.5132,25.4866,24.9355,24.5664,24.3378,24.4995,24.1477,23.087,23.3503
516.763,0.612391,0.0986695,1,3,0,-515.188,3.64642,-0.252825,27.2415,26.5132,25.4866,24.9355,24.5664,24.3378,24.4995,24.1477,23.087,23.3503
516.968,0.999751,0.0986695,5,35,0,-516.653,4.04061,-0.483176,29.5955,28.102,26.059,24.9928,24.2906,23.8605,24.1644,23.5056,21.5719,22.0445
516.719,0.900398,0.0986695,2,3,0,-516.221,3.94489,-0.489135,26.6784,25.3159,23.4537,22.4824,21.8431,21.4516,21.7282,21.1287,19.37,19.7996
516.256,0.88622,0.0986695,1,1,0,-516.205,3.93275,-0.497449,26.062,24.709,22.8617,21.8992,21.266,20.8784,21.1523,20.5589,18.8197,19.2443
516.256,0.544395,0.0986695,1,3,0,-513.378,3.93275,-0.497449,26.062,24.709,22.8617,21.8992,21.266,20.8784,21.1523,20.5589,18.8197,19.2443
516.079,0.955778,0.0986695,1,1,0,-515.871,3.92997,-0.500659,25.8771,24.5253,22.6803,21.7194,21.0874,20.7007,20.974,20.3818,18.647,19.0704
