# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0879736
# Diagonal elements of inverse mass matrix:
# 0.258552, 0.0868116
515.096,0.736706,0.0879736,1,3,0,-515.027,4.40079,-0.646403,34.0291,31.7515,28.702,27.1418,26.1265,25.5094,25.9451,25.0032,22.2903,22.946
516.949,0.930913,0.0879736,2,3,0,-514.351,4.30605,-0.64948,30.8247,28.7521,25.9782,24.5595,23.6365,23.0756,23.4716,22.6156,20.1507,20.7463
516.993,0.928242,0.0879736,5,35,0,-515.97,3.65685,-0.297476,25.9151,25.102,23.9622,23.3537,22.9475,22.6965,22.8741,22.4881,21.3304,21.6169
516.396,0.939591,0.0879736,2,3,0,-516.37,3.69507,-0.264757,28.1421,27.3548,26.2465,25.6525,25.2551,25.009,25.1831,24.8046,23.6647,23.9474
516.882,0.9986,0.0879736,3,7,0,-516.441,3.73252,-0.304699,27.6806,26.7913,25.546,24.8818,24.4386,24.1648,24.3585,23.9376,22.6761,22.9881
514.374,0.686733,0.0879736,2,7,0,-513.777,3.69906,-0.400258,23.5267,22.5389,21.1728,20.4526,19.9754,19.682,19.8894,19.4392,18.1048,18.4327
516.742,0.886911,0.0879736,3,11,0,-512.928,3.97883,-0.43652,29.6332,28.2788,26.4148,25.4364,24.7898,24.3929,24.6735,24.065,22.2691,22.7093
517.117,0.983637,0.0879736,4,23,0,-516.456,3.84057,-0.403646,26.9792,25.837,24.2582,23.4261,22.875,22.5361,22.7757,22.2558,20.7156,21.094
516.78,0.860724,0.0879736,4,27,0,-514.786,4.31978,-0.645364,31.4249,29.3249,26.5127,25.0738,24.1374,23.5682,23.97,23.1012,20.5985,21.2035
516.612,0.848657,0.0879736,3,15,0,-515.348,4.18807,-0.55569,31.0961,29.2982,26.8623,25.6022,24.7766,24.2727,24.6287,23.8581,21.615,22.1605
516.894,1,0.0879736,1,1,0,-516.665,4.17941,-0.563026,30.5239,28.7365,26.3171,25.0667,24.2479,23.7483,24.1012,23.3373,21.1157,21.6557
516.92,0.853771,0.0879736,2,3,0,-515.695,4.12369,-0.581296,28.1656,26.4645,24.1673,22.9827,22.2081,21.7358,22.0694,21.3475,19.2527,19.7613
516.921,0.996216,0.0879736,4,27,0,-516.457,3.91602,-0.463156,26.8452,25.5452,23.7623,22.8295,22.2143,21.8371,22.1037,21.5258,19.8253,20.2414
516.998,0.96585,0.0879736,2,3,0,-516.483,3.9446,-0.475442,27.1687,25.819,23.971,23.0055,22.3694,21.9795,22.255,21.6579,19.9035,20.3324
516.512,0.999828,0.0879736,5,35,0,-516.306,3.30954,-0.0841839,24.429,24.2096,23.8934,23.7201,23.6026,23.5292,23.5812,23.4679,23.1195,23.2069
