# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0995168
# Diagonal elements of inverse mass matrix:
# 0.242407, 0.0828413
516.777,0.919524,0.0995168,1,3,0,-516.423,3.47292,-0.17102,25.5797,25.1151,24.4531,24.0941,23.8523,23.702,23.8084,23.5766,22.871,23.0471
516.842,0.985544,0.0995168,5,39,0,-516.365,4.39844,-0.725748,30.4971,28.2149,25.1909,23.6587,22.6674,22.0672,22.4908,21.5761,18.9658,19.5933
516.903,0.99203,0.0995168,3,11,0,-516.775,4.38041,-0.701079,30.9676,28.7261,25.7463,24.232,23.2504,22.6555,23.0754,22.1683,19.5719,20.1971
517.058,0.953903,0.0995168,5,33,0,-516.42,3.73663,-0.32023,27.2176,26.2993,25.0161,24.333,23.8777,23.5966,23.7954,23.3635,22.0713,22.3905
516.549,0.887696,0.0995168,1,3,0,-516.537,3.76357,-0.307555,28.4436,27.5214,26.2305,25.5421,25.083,24.7993,25,24.564,23.2577,23.5807
516.359,0.941948,0.0995168,1,1,0,-516.209,3.77484,-0.307809,28.7562,27.8231,26.5169,25.8205,25.356,25.069,25.272,24.8309,23.5093,23.8361
515.187,0.996871,0.0995168,4,23,0,-514.095,3.01292,0.123526,24.0432,24.3637,24.8383,25.105,25.2886,25.4044,25.3223,25.5019,26.0678,25.9238
515.545,1,0.0995168,2,3,0,-515.262,2.98872,0.118106,23.2973,23.594,24.0334,24.28,24.4498,24.5568,24.4809,24.6469,25.1696,25.0366
515.493,0.994554,0.0995168,2,3,0,-515.483,2.95318,0.100427,21.9529,22.1905,22.5413,22.7379,22.873,22.9581,22.8978,23.0297,23.4443,23.339
515.556,0.989097,0.0995168,2,7,0,-515.197,2.95353,0.127802,22.7883,23.1026,23.5685,23.8303,24.0106,24.1244,24.0437,24.2202,24.7764,24.6348
515.355,0.975553,0.0995168,2,3,0,-515.331,2.91531,0.120587,21.721,22.0035,22.4219,22.6569,22.8186,22.9206,22.8483,23.0065,23.5047,23.3779
515.34,0.932825,0.0995168,3,11,0,-514.776,2.97851,0.133282,23.5385,23.8771,24.3794,24.662,24.8566,24.9794,24.8924,25.0829,25.684,25.5309
515.117,0.659761,0.0995168,3,11,0,-512.338,2.82098,0.182196,21.4819,21.9055,22.5379,22.8957,23.1431,23.2995,23.1886,23.4315,24.2025,24.0055
515.135,0.924218,0.0995168,3,9,0,-514.55,3.02965,0.11723,24.2418,24.5483,25.002,25.2567,25.432,25.5424,25.4641,25.6355,26.175,26.0378
516.079,0.936963,0.0995168,5,35,0,-514.398,3.78311,-0.304841,29.1117,28.1759,26.8657,26.1668,25.7005,25.4125,25.6162,25.1734,23.8462,24.1745
516.023,0.996562,0.0995168,2,3,0,-515.943,3.72629,-0.382226,24.7725,23.7782,22.4001,21.6719,21.1888,20.8914,21.1017,20.6453,19.2897,19.6233
516.147,0.997297,0.0995168,4,27,0,-515.744,3.74327,-0.284294,28.7622,27.8991,26.6872,26.0392,25.6062,25.3384,25.5279,25.1161,23.8789,24.1853
516.625,1,0.0995168,4,19,0,-516.085,3.84953,-0.358256,28.9442,27.8539,26.338,25.5346,25.0007,24.6717,24.9044,24.3992,22.8945,23.2653
